scene_id,scene_href,datetime,bbox_lon_min,bbox_lat_min,bbox_lon_max,bbox_lat_max
S1A_IW_GRDH_1SDV_20251001T235418_20251001T235443_061239_07A347,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T235418_20251001T235443_061239_07A347_D037/measurement/iw-vv.tiff,2025-10-01T23:54:30.826285Z,-89.439354,29.780401,-86.495453,31.694811
S1A_IW_GRDH_1SDV_20251001T235349_20251001T235418_061239_07A347,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T235349_20251001T235418_061239_07A347_FE14/measurement/iw-vv.tiff,2025-10-01T23:54:03.818867Z,-89.101753,28.03088,-86.153137,30.19026
S1A_IW_GRDH_1SDV_20251001T235010_20251001T235043_061239_07A346,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T235010_20251001T235043_061239_07A346_4BCC/measurement/iw-vv.tiff,2025-10-01T23:50:27.372068Z,-86.35041,14.831517,-83.630447,17.266109
S1A_IW_GRDH_1SDV_20251001T234945_20251001T235010_061239_07A346,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T234945_20251001T235010_061239_07A346_F744/measurement/iw-vv.tiff,2025-10-01T23:49:58.281364Z,-85.926819,13.319427,-83.337311,15.266314
S1A_IW_GRDH_1SDV_20251001T234920_20251001T234945_061239_07A346,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T234920_20251001T234945_061239_07A346_2DE4/measurement/iw-vv.tiff,2025-10-01T23:49:33.281046Z,-85.617462,11.807238,-83.041733,13.757943
S1A_IW_GRDH_1SDV_20251001T234855_20251001T234920_061239_07A346,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T234855_20251001T234920_061239_07A346_A647/measurement/iw-vv.tiff,2025-10-01T23:49:08.280739Z,-85.307487,10.295032,-82.744171,12.249496
S1A_IW_GRDH_1SDV_20251001T234830_20251001T234855_061239_07A346,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T234830_20251001T234855_061239_07A346_4CAD/measurement/iw-vv.tiff,2025-10-01T23:48:43.281167Z,-84.997414,8.781546,-82.450401,10.741138
S1A_IW_GRDH_1SDV_20251001T234801_20251001T234830_061239_07A346,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T234801_20251001T234830_061239_07A346_B62A/measurement/iw-vv.tiff,2025-10-01T23:48:16.270675Z,-84.692863,7.025867,-82.100067,9.231666
S1A_IW_GRDH_1SDV_20251001T234526_20251001T234557_061238_07A344,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T234526_20251001T234557_061238_07A344_848B/measurement/iw-vv.tiff,2025-10-01T23:45:41.966621Z,-82.754898,-2.342176,-80.13485,-0.032355
S1A_IW_GRDH_1SDV_20251001T234501_20251001T234526_061238_07A344,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T234501_20251001T234526_061238_07A344_3021/measurement/iw-vv.tiff,2025-10-01T23:45:14.349284Z,-82.368935,-3.85369,-79.8106,-1.85508
S1A_IW_GRDH_1SDV_20251001T234436_20251001T234501_061238_07A344,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T234436_20251001T234501_061238_07A344_D076/measurement/iw-vv.tiff,2025-10-01T23:44:49.349508Z,-82.04718,-5.364856,-79.481529,-3.361663
S1A_IW_GRDH_1SDV_20251001T234411_20251001T234436_061238_07A344,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T234411_20251001T234436_061238_07A344_FD61/measurement/iw-vv.tiff,2025-10-01T23:44:24.348993Z,-81.722183,-6.875865,-79.148788,-4.86776
S1A_IW_GRDH_1SDV_20251001T234346_20251001T234411_061238_07A344,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T234346_20251001T234411_061238_07A344_147F/measurement/iw-vv.tiff,2025-10-01T23:43:59.349215Z,-81.395164,-8.386232,-78.810669,-6.37357
S1A_IW_GRDH_1SDV_20251001T234321_20251001T234346_061238_07A344,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T234321_20251001T234346_061238_07A344_FCD8/measurement/iw-vv.tiff,2025-10-01T23:43:34.349431Z,-81.064293,-9.896193,-78.467072,-7.878566
S1A_IW_GRDH_1SDV_20251001T234252_20251001T234321_061238_07A344,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T234252_20251001T234321_061238_07A344_0699/measurement/iw-vv.tiff,2025-10-01T23:43:07.350826Z,-80.729683,-11.646807,-78.061577,-9.383008
S1A_IW_GRDH_1SDV_20251001T233615_20251001T233642_061238_07A342,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T233615_20251001T233642_061238_07A342_0F11/measurement/iw-vv.tiff,2025-10-01T23:36:29.188531Z,-74.351715,-35.454498,-71.089417,-33.201801
S1A_IW_GRDH_1SDV_20251001T233550_20251001T233615_061238_07A342,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T233550_20251001T233615_061238_07A342_7F50/measurement/iw-vv.tiff,2025-10-01T23:36:03.209445Z,-73.829987,-36.940983,-70.53614,-34.795387
S1A_IW_GRDH_1SDV_20251001T233525_20251001T233550_061238_07A342,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T233525_20251001T233550_061238_07A342_5911/measurement/iw-vv.tiff,2025-10-01T23:35:38.209627Z,-73.325768,-38.423759,-69.955681,-36.269627
S1A_IW_GRDH_1SDV_20251001T233255_20251001T233320_061238_07A342,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T233255_20251001T233320_061238_07A342_1197/measurement/iw-vv.tiff,2025-10-01T23:33:08.209977Z,-69.857101,-47.272587,-65.943123,-45.043636
S1A_IW_GRDH_1SDV_20251001T233226_20251001T233255_061238_07A342,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T233226_20251001T233255_061238_07A342_BDC2/measurement/iw-vv.tiff,2025-10-01T23:32:41.195369Z,-69.183655,-48.970627,-65.022209,-46.491123
S1C_IW_GRDH_1SDV_20251001T232452_20251001T232517_004375_008ABE,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T232452_20251001T232517_004375_008ABE_8D0F/measurement/iw-vv.tiff,2025-10-01T23:25:05.460955Z,106.14412700000003,72.064873,115.35767399999997,74.124718
S1C_IW_GRDH_1SDV_20251001T232427_20251001T232452_004375_008ABE,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T232427_20251001T232452_004375_008ABE_8AB0/measurement/iw-vv.tiff,2025-10-01T23:24:40.461060Z,107.15801199999999,73.500854,117.268036,75.595474
S1C_IW_GRDH_1SDV_20251001T232358_20251001T232427_004375_008ABE,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T232358_20251001T232427_004375_008ABE_D011/measurement/iw-vv.tiff,2025-10-01T23:24:13.305238Z,108.33289300000001,74.924568,119.96640000000002,77.312958
S1C_IW_GRDH_1SDV_20251001T231514_20251001T231533_004375_008ABD,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T231514_20251001T231533_004375_008ABD_E25B/measurement/iw-vv.tiff,2025-10-01T23:15:23.899991Z,-93.115219,70.423866,-85.371979,72.073326
S1C_IW_GRDH_1SDV_20251001T231449_20251001T231514_004375_008ABD,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T231449_20251001T231514_004375_008ABD_DAB3/measurement/iw-vv.tiff,2025-10-01T23:15:01.918665Z,-92.082611,68.967796,-84.592285,70.95192
S1C_IW_GRDH_1SDV_20251001T231424_20251001T231449_004375_008ABD,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T231424_20251001T231449_004375_008ABD_C09C/measurement/iw-vv.tiff,2025-10-01T23:14:36.918514Z,-90.861374,67.506363,-83.881866,69.471268
S1C_IW_GRDH_1SDV_20251001T231359_20251001T231424_004375_008ABD,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T231359_20251001T231424_004375_008ABD_45BA/measurement/iw-vv.tiff,2025-10-01T23:14:11.919113Z,-89.765594,66.039177,-83.240501,67.989037
S1C_IW_GRDH_1SDV_20251001T231334_20251001T231359_004375_008ABD,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T231334_20251001T231359_004375_008ABD_FC6C/measurement/iw-vv.tiff,2025-10-01T23:13:46.918960Z,-88.784821,64.566589,-82.65976,66.504608
S1C_IW_GRDH_1SDV_20251001T231309_20251001T231334_004375_008ABD,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T231309_20251001T231334_004375_008ABD_9FD6/measurement/iw-vv.tiff,2025-10-01T23:13:21.918808Z,-87.903519,63.091305,-82.112862,65.017876
S1C_IW_GRDH_1SDV_20251001T231240_20251001T231309_004375_008ABD,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T231240_20251001T231309_004375_008ABD_278D/measurement/iw-vv.tiff,2025-10-01T23:12:54.766643Z,-87.088951,61.357941,-81.516151,63.530426
S1C_IW_GRDH_1SDV_20251001T230123_20251001T230148_004375_008ABC,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T230123_20251001T230148_004375_008ABC_F6EF/measurement/iw-vv.tiff,2025-10-01T23:01:36.034903Z,-75.146729,20.757044,-72.445839,22.695438
S1C_IW_GRDH_1SDV_20251001T230058_20251001T230123_004375_008ABC,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T230058_20251001T230123_004375_008ABC_99FD/measurement/iw-vv.tiff,2025-10-01T23:01:10.955938Z,-74.82637,19.246563,-72.153404,21.179073
S1C_IW_GRDH_1SDV_20251001T230029_20251001T230058_004375_008ABC,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T230029_20251001T230058_004375_008ABC_DB96/measurement/iw-vv.tiff,2025-10-01T23:00:43.816213Z,-74.510078,17.477123,-71.810402,19.671846
S1A_IW_GRDH_1SDV_20251001T225746_20251001T225811_061238_07A33E,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T225746_20251001T225811_061238_07A33E_8347/measurement/iw-vv.tiff,2025-10-01T22:57:58.863017Z,99.606064,-4.212323,102.13996900000001,-2.229627
S1A_IW_GRDH_1SDV_20251001T225721_20251001T225746_061238_07A33E,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T225721_20251001T225746_061238_07A33E_1DC8/measurement/iw-vv.tiff,2025-10-01T22:57:34.006946Z,99.91593899999998,-2.715579,102.47034500000001,-0.724799
S1A_IW_GRDH_1SDV_20251001T225631_20251001T225656_061238_07A33E,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T225631_20251001T225656_061238_07A33E_34A0/measurement/iw-vv.tiff,2025-10-01T22:56:44.007804Z,100.56608599999998,0.305751,103.10521699999998,2.29
S1A_IW_GRDH_1SDV_20251001T225606_20251001T225631_061238_07A33E,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T225606_20251001T225631_061238_07A33E_0CCD/measurement/iw-vv.tiff,2025-10-01T22:56:19.007489Z,100.88015000000001,1.818035,103.41824300000002,3.798219
S1A_IW_GRDH_1SDV_20251001T225541_20251001T225606_061238_07A33E,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T225541_20251001T225606_061238_07A33E_A2FB/measurement/iw-vv.tiff,2025-10-01T22:55:54.007175Z,101.18978900000002,3.33071,103.73105599999997,5.3064
S1A_IW_GRDH_1SDV_20251001T225512_20251001T225541_061238_07A33E,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T225512_20251001T225541_061238_07A33E_FACA/measurement/iw-vv.tiff,2025-10-01T22:55:26.999340Z,101.49765000000002,4.843231,104.094788,7.05656
S1A_IW_GRDH_1SDV_20251001T225400_20251001T225425_061238_07A33D,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T225400_20251001T225425_061238_07A33D_F9B0/measurement/iw-vv.tiff,2025-10-01T22:54:12.876180Z,102.43746899999996,9.467017,104.987572,11.386965
S1A_IW_GRDH_1SDV_20251001T225335_20251001T225400_061238_07A33D,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T225335_20251001T225400_061238_07A33D_F242/measurement/iw-vv.tiff,2025-10-01T22:53:48.186935Z,102.72697399999998,10.942113,105.29967499999998,12.895019
S1A_IW_GRDH_1SDV_20251001T225155_20251001T225220_061238_07A33D,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T225155_20251001T225220_061238_07A33D_8421/measurement/iw-vv.tiff,2025-10-01T22:52:08.186732Z,103.90601300000003,16.989779,106.54895799999997,18.926895
S1A_IW_GRDH_1SDV_20251001T225130_20251001T225155_061238_07A33D,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T225130_20251001T225155_061238_07A33D_CD99/measurement/iw-vv.tiff,2025-10-01T22:51:43.186682Z,104.20322399999998,18.500057,106.86404400000004,20.434372
S1A_IW_GRDH_1SDV_20251001T225105_20251001T225130_061238_07A33D,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T225105_20251001T225130_061238_07A33D_4BBA/measurement/iw-vv.tiff,2025-10-01T22:51:18.186630Z,104.49536899999998,20.010843,107.17627700000003,21.942356
S1A_IW_GRDH_1SDV_20251001T222102_20251001T222127_061238_07A33C,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T222102_20251001T222127_061238_07A33C_2940/measurement/iw-vv.tiff,2025-10-01T22:21:14.815582Z,-69.911591,49.523537,-65.942604,51.416412
S1A_IW_GRDH_1SDV_20251001T222037_20251001T222102_061238_07A33C,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T222037_20251001T222102_061238_07A33C_BE15/measurement/iw-vv.tiff,2025-10-01T22:20:49.815327Z,-69.441322,48.02795,-65.591599,49.919949
S1A_IW_GRDH_1SDV_20251001T222012_20251001T222037_061238_07A33C,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T222012_20251001T222037_061238_07A33C_41C3/measurement/iw-vv.tiff,2025-10-01T22:20:24.815082Z,-68.986,46.530834,-65.25119,48.42308
S1A_IW_GRDH_1SDV_20251001T221918_20251001T221947_061238_07A33C,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T221918_20251001T221947_061238_07A33C_8DF2/measurement/iw-vv.tiff,2025-10-01T22:19:32.801941Z,-68.128265,43.291748,-64.539207,45.42662
S1A_IW_GRDH_1SDV_20251001T221201_20251001T221223_061238_07A33A,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T221201_20251001T221223_061238_07A33A_70D3/measurement/iw-vv.tiff,2025-10-01T22:12:12.921577Z,-61.976707000000005,16.985035,-59.37543500000001,18.750359
S1A_IW_GRDH_1SDV_20251001T221136_20251001T221201_061238_07A33A,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T221136_20251001T221201_061238_07A33A_E5D9/measurement/iw-vv.tiff,2025-10-01T22:11:49.351381Z,-61.698826,15.474316,-59.078728,17.415184
S1A_IW_GRDH_1SDV_20251001T221111_20251001T221136_061238_07A33A,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T221111_20251001T221136_061238_07A33A_EDBA/measurement/iw-vv.tiff,2025-10-01T22:11:24.351402Z,-61.383095,13.962108,-58.78702200000001,15.907915
S1A_IW_GRDH_1SDV_20251001T221046_20251001T221111_061238_07A33A,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T221046_20251001T221111_061238_07A33A_C0B4/measurement/iw-vv.tiff,2025-10-01T22:10:59.351423Z,-61.074612,12.450261,-58.491123,14.399367
S1A_IW_GRDH_1SDV_20251001T221021_20251001T221046_061238_07A33A,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T221021_20251001T221046_061238_07A33A_67AD/measurement/iw-vv.tiff,2025-10-01T22:10:34.351442Z,-60.763633999999996,10.938214,-58.19379000000001,12.891233
S1A_IW_GRDH_1SDV_20251001T220952_20251001T221021_061238_07A33A,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T220952_20251001T221021_061238_07A33A_8AE3/measurement/iw-vv.tiff,2025-10-01T22:10:07.348725Z,-60.453018,9.183718,-57.846824999999995,11.382987
S1C_IW_GRDH_1SDV_20251001T214639_20251001T214708_004374_008AB4,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T214639_20251001T214708_004374_008AB4_FA4F/measurement/iw-vv.tiff,2025-10-01T21:46:54.083675Z,129.66674799999998,70.033699,137.904694,72.290573
S1A_IW_GRDH_1SDV_20251001T212339_20251001T212407_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T212339_20251001T212407_061237_07A336_A1A0/measurement/iw-vv.tiff,2025-10-01T21:23:53.527704Z,120.17530799999997,-21.174095,123.038254,-18.896063
S1A_IW_GRDH_1SDV_20251001T212314_20251001T212339_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T212314_20251001T212339_061237_07A336_07CF/measurement/iw-vv.tiff,2025-10-01T21:23:26.779915Z,120.63166799999999,-19.460184,123.40653199999997,-17.397818
S1A_IW_GRDH_1SDV_20251001T212249_20251001T212314_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T212249_20251001T212314_061237_07A336_DBE9/measurement/iw-vv.tiff,2025-10-01T21:23:01.780067Z,121.020378,-17.954945,123.76788299999998,-15.898298
S1A_IW_GRDH_1SDV_20251001T212224_20251001T212249_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T212224_20251001T212249_061237_07A336_D1D9/measurement/iw-vv.tiff,2025-10-01T21:22:36.780218Z,121.40022299999998,-16.448679,124.12384800000001,-14.397818
S1A_IW_GRDH_1SDV_20251001T212159_20251001T212224_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T212159_20251001T212224_061237_07A336_66AF/measurement/iw-vv.tiff,2025-10-01T21:22:11.780369Z,121.773956,-14.941696,124.47366299999999,-12.896449
S1A_IW_GRDH_1SDV_20251001T212134_20251001T212159_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T212134_20251001T212159_061237_07A336_4052/measurement/iw-vv.tiff,2025-10-01T21:21:46.780520Z,122.13854200000003,-13.433783,124.818466,-11.393884
S1A_IW_GRDH_1SDV_20251001T212109_20251001T212134_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T212109_20251001T212134_061237_07A336_DBA0/measurement/iw-vv.tiff,2025-10-01T21:21:21.780666Z,122.49640699999998,-11.925161,125.15813400000002,-9.890385
S1A_IW_GRDH_1SDV_20251001T212044_20251001T212109_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T212044_20251001T212109_061237_07A336_A17D/measurement/iw-vv.tiff,2025-10-01T21:20:56.780079Z,122.847328,-10.415781,125.491196,-8.385462
S1A_IW_GRDH_1SDV_20251001T212019_20251001T212044_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T212019_20251001T212044_061237_07A336_FD9B/measurement/iw-vv.tiff,2025-10-01T21:20:31.779488Z,123.19004100000001,-8.90519,125.82680499999998,-6.881403
S1A_IW_GRDH_1SDV_20251001T211954_20251001T212019_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T211954_20251001T212019_061237_07A336_2F3F/measurement/iw-vv.tiff,2025-10-01T21:20:06.779639Z,123.53356200000002,-7.395604,126.155464,-5.375963
S1A_IW_GRDH_1SDV_20251001T211929_20251001T211954_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T211929_20251001T211954_061237_07A336_347E/measurement/iw-vv.tiff,2025-10-01T21:19:41.779790Z,123.86855300000002,-5.884783,126.48097999999999,-3.86997
S1A_IW_GRDH_1SDV_20251001T211904_20251001T211929_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T211904_20251001T211929_061237_07A336_C225/measurement/iw-vv.tiff,2025-10-01T21:19:16.779941Z,124.19876099999999,-4.37356,126.803673,-2.363488
S1A_IW_GRDH_1SDV_20251001T211839_20251001T211904_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T211839_20251001T211904_061237_07A336_8DD7/measurement/iw-vv.tiff,2025-10-01T21:18:51.780090Z,124.52450599999997,-2.861993,127.12386300000003,-0.85658
S1A_IW_GRDH_1SDV_20251001T211814_20251001T211839_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T211814_20251001T211839_061237_07A336_F355/measurement/iw-vv.tiff,2025-10-01T21:18:26.780243Z,124.84612300000003,-1.350135,127.44185600000003,0.650693
S1A_IW_GRDH_1SDV_20251001T211749_20251001T211814_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T211749_20251001T211814_061237_07A336_0EAD/measurement/iw-vv.tiff,2025-10-01T21:18:01.780393Z,125.163994,0.161959,127.75755300000003,2.158334
S1A_IW_GRDH_1SDV_20251001T211724_20251001T211749_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T211724_20251001T211749_061237_07A336_5D72/measurement/iw-vv.tiff,2025-10-01T21:17:36.780545Z,125.477959,1.674319,128.072388,3.666069
S1A_IW_GRDH_1SDV_20251001T211655_20251001T211724_061237_07A336,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T211655_20251001T211724_061237_07A336_626C/measurement/iw-vv.tiff,2025-10-01T21:17:09.768411Z,125.789421,3.186649,128.435806,5.416869
S1A_IW_GRDH_1SDV_20251001T210905_20251001T210930_061237_07A334,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T210905_20251001T210930_061237_07A334_30E9/measurement/iw-vv.tiff,2025-10-01T21:09:17.956816Z,131.45494099999996,31.806736,134.43614200000002,33.738567
S1A_IW_GRDH_1SDV_20251001T210840_20251001T210905_061237_07A334,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T210840_20251001T210905_061237_07A334_1760/measurement/iw-vv.tiff,2025-10-01T21:08:52.739105Z,131.758957,33.33902,134.78479,35.242184
S1A_IW_GRDH_1SDV_20251001T210811_20251001T210840_061237_07A334,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1A_IW_GRDH_1SDV_20251001T210811_20251001T210840_061237_07A334_0B36/measurement/iw-vv.tiff,2025-10-01T21:08:25.725577Z,132.05806,34.844589,135.20452899999998,36.986469
S1C_IW_GRDH_1SDV_20251001T200829_20251001T200854_004373_008AAB,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T200829_20251001T200854_004373_008AAB_7052/measurement/iw-vv.tiff,2025-10-01T20:08:41.966937Z,153.47714199999996,68.269577,160.68254100000001,70.241829
S1C_IW_GRDH_1SDV_20251001T200800_20251001T200829_004373_008AAB,https://sentinel1euwest.blob.core.windows.net/s1-grd/GRD/2025/10/1/IW/DV/S1C_IW_GRDH_1SDV_20251001T200800_20251001T200829_004373_008AAB_AD79/measurement/iw-vv.tiff,2025-10-01T20:08:14.809483Z,154.21977200000003,69.728775,162.226425,71.976273
